time,bytes_read,bytes_written
888,66,390
889,66,342
89,0,13
890,66,458
891,66,342
892,66,342
893,66,885
894,66,932
895,66,389
896,66,342
897,66,342
898,66,342
899,66,342
9,0,13
90,0,13
900,66,885
901,609,506
902,66,390
903,66,342
904,66,342
905,66,342
906,66,885
907,209262,219359
908,772266,768077
909,104215,110894
91,0,13
910,0,76
911,1086,1160
912,634085,634101
913,448614,461787
914,0,123
915,0,14
916,0,13
917,543,13
918,0,62
919,0,13
92,0,13
920,1086,1099
921,338694,337322
922,737062,758376
923,7457,240
924,0,65
925,0,13
926,0,13
927,0,13
928,543,556
929,0,110
93,0,13
930,0,14
931,107536,113337
932,706369,708343
933,287285,296380
934,9687,7486
935,5973,5699
936,543,714
937,535725,544698
938,546062,551521
939,1086,123
94,0,13
940,0,608
941,0,61
942,0,556
943,0,61
944,0,673
945,0,61
946,3801,2185
947,273835,286052
948,755941,752670
949,53466,58316
95,0,13
950,0,72
951,0,556
952,543,61
953,0,62
954,0,13
955,0,130
956,0,557
957,2172,2204
958,14022,14794
959,703399,712787
96,0,129
960,366277,369454
961,0,76
962,6516,3271
963,0,902
964,543,61
965,6487,3320
966,0,334
967,0,14
968,1086,556
969,0,701
97,0,14
970,1086,604
971,356230,363222
972,720757,732549
973,6371,76
974,0,64
975,0,13
976,1629,1099
977,1086,823
978,0,656
979,0,61
98,0,13
980,543,13
981,0,605
982,0,61
983,99963,103831
984,766884,778647
985,217713,213938
986,0,76
987,2172,2185
988,569770,570850
989,514820,525123
99,0,13
990,0,76
991,543,13
992,0,62
993,6516,3271
994,0,215
995,0,14
996,2715,556
997,543,160
998,3258,1692
999,543,331
